Hamlet,State,District,Block,Panchayat,Revenue Village,VEC Name,Micro Grid ID
Khijurpani,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Khusboo Sour Urja Samiti, Khijurpani,MG-Khusboo Sour Urja Samiti
Lukaltoli Telitoli,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Nirmal Saur Oorja Samiti, Lukaltoli Telitoli,MG-Nirmal Saur Oorja Samiti
Machiya Ghat,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Roshani Saur Oorja Samiti, Machiya Ghat,MG-Roshani Saur Oorja Samiti
Makdipurna Girjatoli,Jharkhand,Simdega,Bolba,Malsada,Machhkatta,Roshan Saur Oorja Samiti, Makdipurna Girjatoli,MG-Roshan Saur Oorja Samiti
Mudamba,Jharkhand,Simdega,Kurdeg,Kutmakachar,Kutumakachar,Ram Saur Oorja Samiti, Mudamba,MG-Ram Saur Oorja Samiti
Mudiyadih LalkaToli,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Maa Maryam Saur Oorja Samiti, Mudiyadih LalkaToli,MG-Maa Maryam Saur Oorja Samiti
Mudiyadih- Tangertoli,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Anjali Saur Oorja Samiti, Mudiyadih- Tangertoli,MG-Anjali Saur Oorja Samiti
Muthu Toli,Jharkhand,Simdega,Bolba,Malsada,Machhkatta,Injot Saur Oorja Samiti, Muthu Toli,MG-Injot Saur Oorja Samiti
Paharkona,Jharkhand,Simdega,Kersai,Kinkel,Kinkel,Jwalit Saur Oorja Samiti, Paharkona,MG-Jwalit Saur Oorja Samiti
Pahartoli Hethma,Jharkhand,Simdega,Kurdeg,Hethma,Hethma,Jwala Saur Oorja Samiti, Pahartoli Hethma,MG-Jwala Saur Oorja Samiti
Pakhnatoli,Jharkhand,Simdega,Kersai,Basen,Karuarjor,Divya Sour Urja Samiti, Pakhnatoli,MG-Divya Sour Urja Samiti
Pratappur,Jharkhand,Simdega,Kurdeg,Khinda,Khinda,Chandidni Sour Urja Samiti, Pratappur,MG-Chandidni Sour Urja Samiti
Raut toli,Jharkhand,Simdega,Kurdeg,Barkibiura,Barkibiura,Krishna Sour Oorja Samiti, Raut toli,MG-Krishna Sour Oorja Samiti
Runghudera Majhatoli,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Godwana Saur Oorja Samiti, Runghudera Majhatoli,MG-Godwana Saur Oorja Samiti
Samardema,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Kiran Sour Oorja Samiti Samardema, Samardema,MG-Kiran Sour Oorja Samiti Samardema
Samsera Dipatoli laxmantoli,Jharkhand,Simdega,Bolba,Samsera,Samsera,Guru Saur Oorja Samiti, Samsera Dipatoli laxmantoli,MG-Guru Saur Oorja Samiti
Saraipani,Jharkhand,Simdega,Kurdeg,Barkibiura,Barkibiura,Prakash Saur Oorja Samiti, Saraipani,MG-Prakash Saur Oorja Samiti
Sarha Pani,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Jewan Jyoti Saur Oorja Samiti, Sarha Pani,MG-Jewan Jyoti Saur Oorja Samiti
Sarla Toli,Jharkhand,Simdega,Bolba,Pidiya Poch,Talmanga,Prakashit Saur Oorja Samiti, Sarla Toli,MG-Prakashit Saur Oorja Samiti
Tina Toli,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Ujjawal Saur Oorja Samiti, Tina Toli,MG-Ujjawal Saur Oorja Samiti
Tukupani,Jharkhand,Simdega,Kurdeg,Barkibiura,Barkibiura,Dipak Saur Oorja Samiti, Tukupani,MG-Dipak Saur Oorja Samiti
Urumkela,Jharkhand,Simdega,Kurdeg,Barkibiura,Barkibiura,Prakash Saur Oorja Samiti, Urumkela,MG-Prakash Saur Oorja Samiti
Rengarbahar,Jharkhand,Simdega,Bolba,Pidiya Poch,Rengarbahar,Sant Teresa Saur Urja Samiti, Rengarbahar,MG-Sant Teresa Saur Urja Samiti
Vantoli Sugadongar,Jharkhand,Simdega,Bolba,Malsada,Sugadongar,Chandramani Saur Urja Samiti, Vantoli Sugadongar,MG-Chandramani Saur Urja Samiti
Kudpani Girjatoli,Jharkhand,Simdega,Bolba,Behrainbasa,Behrainbasa,Puna Binco Saur Urja Samit, Kudpani Girjatoli,MG-Puna Binco Saur Urja Samit
Karadamar,Jharkhand,Simdega,Bolba,Kadopani,Kadopani,Solar Batti Saur Urja Samiti, Karadamar,MG-Solar Batti Saur Urja Samiti
Kudpani Khapratoli,Jharkhand,Simdega,Bolba,Behrainbasa,Behrainbasa,Naya Jyoti Saur Urja Samiti, Kudpani Khapratoli,MG-Naya Jyoti Saur Urja Samiti
Kadopani Harijantoli,Jharkhand,Simdega,Bolba,Kadopani,Kadopani,Jeevan Jyoti Saur Urja Samiti, Kadopani Harijantoli,MG-Jeevan Jyoti Saur Urja Samiti
Talmanga Chataktoli,Jharkhand,Simdega,Bolba,Pidiya Poch,Pidiya Poch,Cham Cham Saur Urja Samiti, Talmanga Chataktoli,MG-Cham Cham Saur Urja Samiti
Semerbeda,Jharkhand,Simdega,Bolba,Pidiya Poch,Pidiya Poch,Suryoday Saur Urja Samiti, Semerbeda,MG-Suryoday Saur Urja Samiti
Bansgada,Jharkhand,Simdega,Kersai,East Taisar,East Taisar,Solar Saur Urja Samiti, Bansgada,MG-Solar Saur Urja Samiti
Gatigada Soreangtoli,Jharkhand,Simdega,Bolba,Kadopani,Kadopani,Anjor Saur Urja Samiti, Gatigada Soreangtoli,MG-Anjor Saur Urja Samiti
